Event Name,Date,Time
ttt,0077-07-07,07:07
gggg,0002-02-22,22:22
2,0022-02-22,22:02
22,0002-02-22,22:02
2,0022-02-22,22:02
555,0055-05-05,05:55
Today-1,27/08/2024,17:23
today-2,27/08/2024,03:33
Rff,27/08/2024,16:24
Project Kickoff,15/01/2023,0.416666667
System Design Meeting,03/02/2023,0.604166667
Code Review,10/03/2023,0.458333333
Sprint Planning,12/04/2023,0.375
Client Presentation,20/05/2023,0.625
Final Testing,25/06/2023,0.541666667
Launch Event,01/07/2023,0.333333333
Bug Fixing Session,10/08/2023,0.6875
Team Retrospective,02/09/2023,0.416666667
UI/UX Workshop,05/10/2023,0.583333333
Database Migration,14/11/2023,0.75
Holiday Party,22/12/2023,0.791666667
Quarterly Review,10/01/2024,0.395833333
New Feature Brainstorming,18/02/2024,0.5625
Security Audit,22/03/2024,0.645833333
All-Hands Meeting,07/04/2024,0.416666667
Marketing Campaign Launch,15/05/2024,0.5
End-of-Sprint Demo,19/06/2024,0.479166667
Hackathon,23/07/2024,0.375
Customer Feedback Session,14/08/2024,0.614583333
Product Roadmap Review,09/09/2024,0.46875
Tech Conference,20/10/2024,0.375
Office Move,12/11/2024,0.333333333
Year-End Summary,18/12/2024,0.666666667
Product Maintenance,15/01/2024,0.520833333
Server Upgrade,28/02/2024,0.958333333
API Integration Testing,19/03/2024,0.708333333
Code Freeze,28/04/2024,0.65625
App Deployment,30/05/2024,0.583333333
User Training,17/06/2024,0.416666667
Data Backup,11/07/2024,0.770833333
Compliance Review,08/08/2024,0.541666667
Feature Rollback,22/09/2024,0.833333333
Product Launch Party,03/10/2024,0.8125
Maintenance Window,25/11/2024,0.083333333
Performance Tuning,05/12/2024,0.583333333
Incident Response,22/01/2024,0.125
Data Analysis,12/02/2024,0.375
System Downtime,25/03/2024,0.0625
Load Testing,18/04/2024,0.552083333
Mobile App Update,05/05/2024,0.333333333
Patch Deployment,26/06/2024,0.8125
Business Strategy Meeting,29/07/2024,0.625
UI Refresh,18/08/2024,0.4375
Team Lunch,01/09/2024,0.5
Server Maintenance,14/10/2024,0
Release Management,07/11/2024,0.739583333
Infrastructure Scaling,20/12/2024,0.916666667
Documentation Review,14/01/2024,0.458333333
Module Integration,03/02/2024,0.666666667
Unit Testing,10/03/2024,0.604166667
Beta Release,23/04/2024,0.375
Stakeholder Meeting,17/05/2024,0.479166667
Technical Workshop,05/06/2024,0.614583333
Bug Triage,10/07/2024,0.416666667
User Acceptance Testing,21/08/2024,0.5625
Data Migration,28/09/2024,0.75
Security Patch,09/10/2024,0.9375
Cloud Infrastructure Review,30/11/2024,0.625
System Audit,27/12/2024,0.6875
